Title,URL handle,Colorway Family (product.metafields.custom.colorway_family)
adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,adidas-3s-sprinter-shorts-women
adidas 3S Sprinter Shorts Women's - Black/White,adidas-3s-sprinter-shorts-women-black-white-kd7977,adidas-3s-sprinter-shorts-women
adidas Originals Samba Women's Sneakers - Footwear White/Coffee Metallic/Gum,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,adidas-originals-samba-women
adidas Originals Samba Women's Sneakers - Gum/Wonder Quartz/Off White,adidas-originals-samba-women-gum-wonder-quartz-off-white-la6882,adidas-originals-samba-women
adidas Originals Samba Women's Sneakers - Off White/Tropic Bloom/Gum,adidas-originals-samba-women-off-white-tropic-bloom-gum-la6395,adidas-originals-samba-women
New Balance 530 Women's Sneakers - Angora/Turtledove,new-balance-530-women-angora-turtledove-52508353,new-balance-530-women
New Balance 530 Women's Sneakers - Daybreak/Silver Metallic,new-balance-530-women-daybreak-silver-metallic-u53052n,new-balance-530-women
New Balance 530 Women's Sneakers - Grey/White,new-balance-530-women-grey-white-mr530ck,new-balance-530-women
New Balance 530 Women's Sneakers - Pink/Silver,new-balance-530-women-pink-silver-52530022,new-balance-530-women
New Balance 530 Women's Sneakers - Sea Salt/Brown,new-balance-530-women-sea-salt-brown-cw527988,new-balance-530-women
New Balance 530 Women's Sneakers - White/Natural Indigo,new-balance-530-women-white-natural-indigo-mr530sg,new-balance-530-women
New Balance 530 Women's Sneakers - White/Silver,new-balance-530-women-white-silver-mr530ema,new-balance-530-women
Nike Air Force 1 - Girls' Grade School Sneakers - Black/Black,nike-air-force-1-girls-grade-school-black-black-62244801,nike-air-force-1-girls-grade-school
Nike Air Force 1 - Girls' Grade School Sneakers - Pink/White/Grey,nike-air-force-1-girls-grade-school-pink-white-grey-ir65059,nike-air-force-1-girls-grade-school
Nike Air Force 1 - Girls' Grade School Sneakers - White/Pink,nike-air-force-1-girls-grade-school-white-pink-ct3839,nike-air-force-1-girls-grade-school
Nike Air Max 90 Men's Sneakers - Black/Black,nike-air-max-90-men-black-black-42454010,nike-air-max-90-men
Nike Air Max 90 Men's Sneakers - Black/Black/Black,nike-air-max-90-men-black-black-black-n8490003,nike-air-max-90-men
Nike Air Max 90 Men's Sneakers - Blue Crystal/Light Smoke Grey/White,nike-air-max-90-men-blue-crystal-light-smoke-grey-white-m0029122,nike-air-max-90-men
Nike Air Max 90 Men's Sneakers - Iron Grey/White/Dark Smoke Grey,nike-air-max-90-men-iron-grey-white-dark-smoke-grey-n8490002,nike-air-max-90-men
Nike Air Max 90 Men's Sneakers - Phantom/Phantom/Med Olive,nike-air-max-90-men-phantom-phantom-med-olive-f5446003,nike-air-max-90-men
Nike Air Max 90 Men's Sneakers - White/Black/University Red,nike-air-max-90-men-white-black-university-red-v2867100,nike-air-max-90-men
Nike Air Max 90 Men's Sneakers - White/Grey/Red,nike-air-max-90-men-white-grey-red-m002902,nike-air-max-90-men
Nike Air Max 90 Men's Sneakers - White/White/Wolf Grey,nike-air-max-90-men-white-white-wolf-grey-n8490100,nike-air-max-90-men
Nike Phoenix Fleece High Rise Wide Pants Women's - Black/Sail,nike-phoenix-fleece-high-rise-wide-pants-women-black-sail-ih011010,nike-phoenix-fleece-high-rise-wide-pants-women
Nike Phoenix Fleece High Rise Wide Pants Women's - Light Orewood Brown/White,nike-phoenix-fleece-high-rise-wide-pants-women-light-orewood-brown-white-ih011104,nike-phoenix-fleece-high-rise-wide-pants-women
Nike Phoenix Fleece High Rise Wide Pants Women's - Playful Pink/Sail,nike-phoenix-fleece-high-rise-wide-pants-women-playful-pink-sail-h1011675,nike-phoenix-fleece-high-rise-wide-pants-women
Nike Phoenix Fleece High Rise Wide Pants Women's - Sail/Lt Medium Blue,nike-phoenix-fleece-high-rise-wide-pants-women-sail-lt-medium-blue-h1011460,nike-phoenix-fleece-high-rise-wide-pants-women
Nike Phoenix Fleece High Rise Wide Pants Women's - Sail/Pink Foam,nike-phoenix-fleece-high-rise-wide-pants-women-sail-pink-foam-h1011663,nike-phoenix-fleece-high-rise-wide-pants-women
Nike Zoom Vomero 5 Women's Sneakers - Black/Black/Court Purple,nike-zoom-vomero-5-women-black-black-court-purple-j2028004,nike-zoom-vomero-5-women
Nike Zoom Vomero 5 Women's Sneakers - Black/Chrome,nike-zoom-vomero-5-women-black-chrome-v4311002,nike-zoom-vomero-5-women
Nike Zoom Vomero 5 Women's Sneakers - Grey/Gold,nike-zoom-vomero-5-women-grey-gold-7723001,nike-zoom-vomero-5-women
Nike Zoom Vomero 5 Women's Sneakers - Metallic Silver/Photon Dust/Pink Foam,nike-zoom-vomero-5-women-metallic-silver-photon-dust-pink-foam-f1877001,nike-zoom-vomero-5-women
Nike Zoom Vomero 5 Women's Sneakers - Photon Dust/Charcoal,nike-zoom-vomero-5-women-photon-dust-charcoal-d0884025,nike-zoom-vomero-5-women
