Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Gender (product.metafields.custom.gender),Source SKU (product.metafields.custom.source_sku),Source URL (product.metafields.custom.source_url)
adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,"<p>Embody the heart of sneaker culture with the adidas Adicolor 3-Stripes Sprinter Shorts. These satin knit shorts feature a loose fit and mid-rise waist for a baggy silhouette that captures street classic vibes. Crafted with recycled materials, they offer a smooth feel and bold look for your daily rotation.<br><ul><li>Satin fabric provides a smooth and glossy finish</li><li>Loose fit allows for a baggy and comfortable silhouette</li><li>Elastic waistband with pull-on closure ensures a secure fit</li><li>Curved hem and 3-Stripes detail add authentic athletic style</li><li>Embroidered Trefoil logo on the front showcases brand heritage</li></ul><br><b>Material & Care</b><br><ul><li>97% recycled polyester/3% elastane</li><li>Washable</li></ul><br><b>Size & Fit</b><br><ul><li>Loose fit</li><li>Mid rise</li><li>Above-thigh length</li></ul></p>",adidas,Apparel & Accessories > Clothing > Shorts,Shorts,"footlocker-clean-batch-2026-09, footlocker-source, new-arrivals, adidas, style:KC9006, women, clothing, sale",TRUE,Active,KC9006-XS,198327461007,Color,Aurora Coffee/Sandy Pink,,Size,XS,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,https://assets.footlocker.com/is/image/FLDM/KC9006_01?wid=1600&hei=1600&fmt=png-alpha,1,adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink - primary view,https://assets.footlocker.com/is/image/FLDM/KC9006_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink,Shop adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink at Sneaker Head.,Brown,Women's,KC9006,https://www.footlocker.com/product/adidas-3s-sprinter-shorts-womens/KC9006.html
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,KC9006-S,198327460970,Color,Aurora Coffee/Sandy Pink,,Size,S,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,KC9006-M,198327461151,Color,Aurora Coffee/Sandy Pink,,Size,M,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,KC9006-L,198327461137,Color,Aurora Coffee/Sandy Pink,,Size,L,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,KC9006-XL,198327461106,Color,Aurora Coffee/Sandy Pink,,Size,XL,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_03?wid=1600&hei=1600&fmt=png-alpha,2,adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink - view 2,,,,,,,,
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_04?wid=1600&hei=1600&fmt=png-alpha,3,adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink - view 3,,,,,,,,
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_05?wid=1600&hei=1600&fmt=png-alpha,4,adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink - view 4,,,,,,,,
,adidas-3s-sprinter-shorts-women-aurora-coffee-sandy-pink-kc9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC9006_07?wid=1600&hei=1600&fmt=png-alpha,5,adidas 3S Sprinter Shorts Women's - Aurora Coffee/Sandy Pink - view 5,,,,,,,,
adidas 3S Sprinter Shorts Women's - Black/White,adidas-3s-sprinter-shorts-women-black-white-kd7977,"<p>Embody the heart of sneaker culture with the adidas Adicolor 3-Stripes Sprinter Shorts. These satin knit shorts feature a loose fit and mid-rise waist for a baggy silhouette that captures street classic vibes. Crafted with recycled materials, they offer a smooth feel and bold look for your daily rotation.<br><ul><li>Satin fabric provides a smooth and glossy finish</li><li>Loose fit allows for a baggy and comfortable silhouette</li><li>Elastic waistband with pull-on closure ensures a secure fit</li><li>Curved hem and 3-Stripes detail add authentic athletic style</li><li>Embroidered Trefoil logo on the front showcases brand heritage</li></ul><br><b>Material & Care</b><br><ul><li>97% recycled polyester/3% elastane</li><li>Washable</li></ul><br><b>Size & Fit</b><br><ul><li>Loose fit</li><li>Mid rise</li><li>Above-thigh length</li></ul></p>",adidas,Apparel & Accessories > Clothing > Shorts,Shorts,"footlocker-clean-batch-2026-09, footlocker-source, new-arrivals, adidas, style:KD7977, women, clothing, sale",TRUE,Active,KD7977-XS,198327457130,Color,Black/White,,Size,XS,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,https://assets.footlocker.com/is/image/FLDM/KD7977_01?wid=1600&hei=1600&fmt=png-alpha,1,adidas 3S Sprinter Shorts Women's - Black/White - primary view,https://assets.footlocker.com/is/image/FLDM/KD7977_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,adidas 3S Sprinter Shorts Women's - Black/White,Shop adidas 3S Sprinter Shorts Women's - Black/White at Sneaker Head.,Black,Women's,KD7977,https://www.footlocker.com/product/adidas-3s-sprinter-shorts-womens/KD7977.html
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,KD7977-S,198327453231,Color,Black/White,,Size,S,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,KD7977-M,198327453170,Color,Black/White,,Size,M,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,KD7977-L,198327457161,Color,Black/White,,Size,L,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,KD7977-XL,198327453279,Color,Black/White,,Size,XL,,,,,20.00,40.00,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_03?wid=1600&hei=1600&fmt=png-alpha,2,adidas 3S Sprinter Shorts Women's - Black/White - view 2,,,,,,,,
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_04?wid=1600&hei=1600&fmt=png-alpha,3,adidas 3S Sprinter Shorts Women's - Black/White - view 3,,,,,,,,
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_05?wid=1600&hei=1600&fmt=png-alpha,4,adidas 3S Sprinter Shorts Women's - Black/White - view 4,,,,,,,,
,adidas-3s-sprinter-shorts-women-black-white-kd7977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KD7977_07?wid=1600&hei=1600&fmt=png-alpha,5,adidas 3S Sprinter Shorts Women's - Black/White - view 5,,,,,,,,
adidas Hyperglam Training Leggings Women's - Black,adidas-hyperglam-training-leggings-women-black-kc7673,"<p>Keep your energy high and your style on point with the adidas Hyperglam leggings. These full-length leggings feature Climacool technology to wick away sweat, keeping you dry during intense boutique gym classes or casual hangouts. The high-rise design and smooth, front-seam-free finish provide a flattering look that moves with your lifestyle effortlessly.<br><br>• Climacool technology wicks and disperses moisture for a cool feel</br>• Exposed elastic waistband with linear logo provides a secure fit</br>• High-rise design offers a supportive and flattering silhouette</br>• Smooth finish with no front seam reduces distractions</br>• Interlock knit fabric provides a sleek and comfortable feel</br><br><b>Material & Care</b><br>• 85% recycled polyester/15% elastane</br>• Machine wash</br><br><b>Size and Fit</b><br>• Tight fit for a body-hugging feel</br>• Ankle length</br>• High waisted</br>• Stretch level: Stretch</br></p>",adidas,Apparel & Accessories > Clothing > Pants,Leggings,"footlocker-clean-batch-2026-09, footlocker-source, new-arrivals, adidas, style:KC7673, women, clothing",TRUE,Active,KC7673-XS,198327647654,Color,Black,,Size,XS,,,,,55.00,,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,https://assets.footlocker.com/is/image/FLDM/KC7673_01?wid=1600&hei=1600&fmt=png-alpha,1,adidas Hyperglam Training Leggings Women's - Black - primary view,https://assets.footlocker.com/is/image/FLDM/KC7673_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,adidas Hyperglam Training Leggings Women's - Black,Shop adidas Hyperglam Training Leggings Women's - Black at Sneaker Head.,Black,Women's,KC7673,https://www.footlocker.com/product/adidas-hyperglam-training-leggings-womens/KC7673.html
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,KC7673-S,198327647630,Color,Black,,Size,S,,,,,55.00,,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,KC7673-M,198327647616,Color,Black,,Size,M,,,,,55.00,,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,KC7673-L,198327647623,Color,Black,,Size,L,,,,,55.00,,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,KC7673-XL,198327647609,Color,Black,,Size,XL,,,,,55.00,,,TRUE,,shopify,8,DENY,250,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_03?wid=1600&hei=1600&fmt=png-alpha,2,adidas Hyperglam Training Leggings Women's - Black - view 2,,,,,,,,
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_04?wid=1600&hei=1600&fmt=png-alpha,3,adidas Hyperglam Training Leggings Women's - Black - view 3,,,,,,,,
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_05?wid=1600&hei=1600&fmt=png-alpha,4,adidas Hyperglam Training Leggings Women's - Black - view 4,,,,,,,,
,adidas-hyperglam-training-leggings-women-black-kc7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KC7673_07?wid=1600&hei=1600&fmt=png-alpha,5,adidas Hyperglam Training Leggings Women's - Black - view 5,,,,,,,,
adidas Originals Samba Women's Sneakers - Footwear White/Coffee Metallic/Gum,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,"<p>From icy pitches to city streets, the adidas Originals Samba remains a timeless icon of performance and style. Designed for lifestyle wear, these iconic sneakers feature a snakeskin-look leather upper and overlays that add a touch of sleek sophistication to your fit. The gum rubber outsole and reinforced T-toe provide enhanced durability and vintage charm. The serrated 3-Stripes add adidas style for a look that will always be original. Take on your everyday adventure with confidence and OG football style with the adidas Originals Samba.</p> <p><strong>adidas Originals Samba features:</strong></p> <ul> <li>Regular fit offers a relaxed, easy-going feel.</li> <li>Lace closure provides a secure and adjustable fit.</li> <li>Synthetic lining ensures durability and adds comfort.</li> <li>Rubber outsole delivers excellent traction and long-lasting wear.</li> </ul><hr /><p>Easy to dress up or down and built for everyday wear, this pair brings a clean, low-profile look that works from weekday errands to weekend plans. The adidas Originals Samba stays true to its indoor-soccer roots with a smooth leather upper, signature T-toe overlay, serrated 3-Stripes, and a gum rubber outsole that keeps the finish classic.</p><ul><li>Low-profile leather upper with a reinforced T-toe overlay</li><li>Lace closure for a secure, adjustable fit</li><li>Synthetic lining adds everyday comfort</li><li>Rubber outsole delivers durable traction</li></ul>  <p><strong>Size &amp; Fit Guidance</strong></p> <p>For the best fit, many shoppers prefer going down half a size, especially if they like a more secure, streamlined feel; if you prefer a little extra room, your usual size may still work.</p>  <p><strong>Best For</strong></p> <p>Best for everyday casual wear, travel, light walking, and versatile styling with everything from jeans to dresses.</p>  <p><strong>Styling &amp; Versatility</strong></p> <p>The Samba stands out for its timeless look and easy wearability, with reviewers consistently calling it a go-to sneaker that pairs well with casual outfits, work looks, and dressed-up everyday fits. Its slim shape, retro details, and classic gum sole make it an effortless option across seasons.</p>  <p><strong>Break-In &amp; Durability</strong></p> <p>Most shoppers find the comfort strong right away or after a short break-in, with the leather upper and heel area settling in over the first few wears. Reviewers also highlight dependable everyday wear, making it a pair many come back to in more than one color.</p>",adidas,Apparel & Accessories > Shoes,Lifestyle Sneakers,"footlocker-clean-batch-2026-09, footlocker-source, new-arrivals, adidas, style:KK2504, women, everyday",TRUE,Active,KK2504-5,198328478684,Color,Footwear White/Coffee Metallic/Gum,,Size,5,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,1,adidas Originals Samba Women's Sneakers - Footwear White/Coffee Metallic/Gum - primary view,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,adidas Originals Samba Women's Sneakers - Footwear White/Coffee Metallic/Gum,Shop adidas Originals Samba Women's Sneakers - Footwear White/Coffee Metallic/Gum at Sneaker Head.,White,Women's,KK2504,https://www.footlocker.com/product/adidas-originals-samba-womens/KK2504.html
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-5-5,198328478639,Color,Footwear White/Coffee Metallic/Gum,,Size,5.5,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-6,198328478745,Color,Footwear White/Coffee Metallic/Gum,,Size,6,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-6-5,198328478660,Color,Footwear White/Coffee Metallic/Gum,,Size,6.5,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-7,198328478769,Color,Footwear White/Coffee Metallic/Gum,,Size,7,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-7-5,198328478653,Color,Footwear White/Coffee Metallic/Gum,,Size,7.5,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-8,198328478813,Color,Footwear White/Coffee Metallic/Gum,,Size,8,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-8-5,198328478707,Color,Footwear White/Coffee Metallic/Gum,,Size,8.5,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-originals-samba-women-footwear-white-coffee-metallic-gum-kk2504,,,,,,,,KK2504-9,198328478714,Color,Footwear White/Coffee Metallic/Gum,,Size,9,,,,,100.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK2504_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
