Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Gender (product.metafields.custom.gender),Source SKU (product.metafields.custom.source_sku),Source URL (product.metafields.custom.source_url)
adidas Adizero Evo SL Women's Running Shoes - Aurora Coffee/Iron Metallic/Blush Pink,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,"<p>Feel the surge of speed with the adidas Adizero Evo. Inspired by the world-record-breaking EVO 1, these breathable running shoes carry the same ultra-fast mentality as a versatile tempo trainer, perfect for pushing your limits in every step. The synthetic and textile upper ensures durability and targeted support, while the Lightstrike Pro technology delivers super-light cushioning to keep you quick and agile on your feet. Constructed with at least 20% recycled content, the adidas adiZero Evo brings peak performance and sustainability, making your every step count.</p> <p><strong>adidas adiZero Evo features:</strong></p> <ul> <li>Regular fit gives a relaxed feel.</li> <li>Lace closure provides a customised fit.</li> <li>Textile lining maximises comfort.</li> <li>3-Stripes add a bold, signature look.</li> <li>Small stiffening element ensures a little extra snap in each step.</li> <li>Continental Rubber outsole delivers grip and reliable traction.</li> </ul> <p>*By reusing materials that have already been created, adidas helps to reduce waste and reliance on finite resources and reduce the footprint of the products.</p><hr /><p>From daily miles to tempo sessions and race-day efforts, this lightweight runner is built to help you move fast without giving up comfort. Inspired by the record-setting EVO 1, the adidas Adizero Evo SL pairs a breathable synthetic and textile upper with ultra-light Lightstrike Pro cushioning for a smooth, energetic ride. A streamlined shape, subtle stiffening element, and dependable Continental Rubber outsole keep the feel quick, efficient, and ready for repeat miles.</p><ul><li>Regular fit</li><li>Lace closure for a secure feel</li><li>Textile lining for added comfort</li><li>Lightstrike Pro midsole for lightweight cushioning and energy return</li><li>Small stiffening element for extra snap through transitions</li><li>Continental Rubber outsole for road-ready traction</li><li>Made with at least 20% recycled content</li></ul>  <p><strong>Size &amp; Fit Guidance</strong></p><p>For the best fit, most runners can start with their usual size. If you prefer a little extra room for long runs or thicker socks, a half size up may feel best. The fit is generally secure through the midfoot with enough forefoot space for many runners.</p>  <p><strong>Best For</strong></p><p>Best for daily training, long runs, tempo work, and runners who want one shoe that can also handle race day.</p>  <p><strong>Cushioning &amp; Road Feel</strong></p><p>Reviewers consistently call out the soft, bouncy ride and lightweight feel, with enough cushioning to stay comfortable over everything from short runs to half and full marathon training. The platform feels lively and responsive rather than bulky, giving you smooth landings with quick turnover.</p>  <p><strong>Break-In &amp; Durability</strong></p><p>Most runners find it comfortable right away, while some say it settles in even more after a few runs. The lightweight build has also earned praise for holding up through regular training mileage, especially in a road-running rotation.</p>",adidas,Apparel & Accessories > Shoes,Running Shoes,"footlocker-expansion-batch-2026-09, footlocker-source, new-arrivals, adidas, style:KK1952, women, Running, running",TRUE,Active,KK1952-6,198322759383,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,6,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,1,adidas Adizero Evo SL Women's Running Shoes - Aurora Coffee/Iron Metallic/Blush Pink - primary view,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,adidas Adizero Evo SL Women's Running Shoes - Aurora Coffee/Iron Metallic/Blush Pink,Shop adidas Adizero Evo SL Women's Running Shoes - Aurora Coffee/Iron Metallic/Blush Pink at Sneaker Head.,Black,Women's,KK1952,https://www.footlocker.com/product/adidas-adizero-evo-sl-womens/KK1952.html
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,KK1952-6-5,198322744969,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,6.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,KK1952-7,198322759406,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,7,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,KK1952-7-5,198322759376,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,7.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,KK1952-8,198322744945,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,8,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,KK1952-8-5,198322744921,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,8.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,KK1952-9-5,198322744860,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,9.5,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,KK1952-10,198322744914,Color,Aurora Coffee/Iron Metallic/Blush Pink,,Size,10,,,,,150.00,,,TRUE,,shopify,8,DENY,300,g,TRUE,manual,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_01?wid=1600&hei=1600&fmt=png-alpha,FALSE,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_03?wid=1600&hei=1600&fmt=png-alpha,2,adidas Adizero Evo SL Women's Running Shoes - Aurora Coffee/Iron Metallic/Blush Pink - view 2,,,,,,,,
,adidas-adizero-evo-sl-women-aurora-coffee-iron-metallic-blush-pink-kk1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://assets.footlocker.com/is/image/FLDM/KK1952_04?wid=1600&hei=1600&fmt=png-alpha,3,adidas Adizero Evo SL Women's Running Shoes - Aurora Coffee/Iron Metallic/Blush Pink - view 3,,,,,,,,
